# timestamp, x, y, z, qx, qy, qz, qw
0,-0.35,0.3,-0.65,0,0,0,1
250000000,-0.34099999999999997,0.291,-0.65,0,0,0,1
500000000,-0.33199999999999996,0.282,-0.65,0,0,0,1
750000000,-0.32299999999999995,0.273,-0.65,0,0,0,1
1000000000,-0.314,0.264,-0.65,0,0,0,1
1250000000,-0.305,0.255,-0.65,0,0,0,1
1500000000,-0.296,0.246,-0.65,0,0,0,1
1750000000,-0.287,0.237,-0.65,0,0,0,1
2000000000,-0.27799999999999997,0.22799999999999998,-0.65,0,0,0,1
2250000000,-0.269,0.219,-0.65,0,0,0,1
2500000000,-0.26,0.21,-0.65,0,0,0,1
2750000000,-0.251,0.201,-0.65,0,0,0,1
3000000000,-0.242,0.192,-0.65,0,0,0,1
3250000000,-0.23299999999999998,0.183,-0.65,0,0,0,1
3500000000,-0.22399999999999998,0.174,-0.65,0,0,0,1
3750000000,-0.215,0.165,-0.65,0,0,0,1
4000000000,-0.206,0.156,-0.65,0,0,0,1
4250000000,-0.19699999999999998,0.147,-0.65,0,0,0,1
4500000000,-0.188,0.138,-0.65,0,0,0,1
4750000000,-0.179,0.129,-0.65,0,0,0,1
5000000000,-0.16999999999999998,0.12,-0.65,0,0,0,1
5250000000,-0.161,0.11100000000000002,-0.65,0,0,0,1
5500000000,-0.152,0.10200000000000001,-0.65,0,0,0,1
5750000000,-0.143,0.093,-0.65,0,0,0,1
6000000000,-0.134,0.08400000000000002,-0.65,0,0,0,1
6250000000,-0.125,0.07500000000000001,-0.65,0,0,0,1
6500000000,-0.11599999999999999,0.066,-0.65,0,0,0,1
6750000000,-0.10699999999999998,0.056999999999999995,-0.65,0,0,0,1
7000000000,-0.09799999999999998,0.04799999999999999,-0.65,0,0,0,1
7250000000,-0.08900000000000002,0.039000000000000035,-0.65,0,0,0,1
7500000000,-0.08000000000000002,0.030000000000000027,-0.65,0,0,0,1
7750000000,-0.07100000000000001,0.02100000000000002,-0.65,0,0,0,1
8000000000,-0.062,0.01200000000000001,-0.65,0,0,0,1
8250000000,-0.05299999999999999,0.0030000000000000027,-0.65,0,0,0,1
8500000000,-0.043999999999999984,-0.006000000000000005,-0.65,0,0,0,1
8750000000,-0.034999999999999976,-0.015000000000000013,-0.65,0,0,0,1
9000000000,-0.026000000000000023,-0.023999999999999966,-0.65,0,0,0,1
9250000000,-0.017000000000000015,-0.032999999999999974,-0.65,0,0,0,1
9500000000,-0.008000000000000007,-0.04199999999999998,-0.65,0,0,0,1
